FileName,Label,Transcription
file1-Fake.mp4,fake,news Disneyworld officially removed the drinking age in their Parks this means that anyone regardless of age can legally drink at Disney World this comes after a year-long battle with the state of Florida to get a resort exemption originally Disney was attempting to lower the drinking age to 18 however they ended up removing the drinking age all together Disney is doing this to make more money but it is proving to be very controversial the biggest concern is over people drunk driving but Disney has an ingenious solution to prevent that they will require guests under 21 to wear a special magic band that can only be removed by  nikesh members at the park exit however in order to get the Magic Band removed you must have a blood alcohol level below .02 if someone is unable to blow less than 0.02 Disney will take the guests home in a minivan however according to an official spokesperson guess who need the money man service should expect prices to be double or triple what an Uber or Lyft would cost to get them home upon dropping the guests off the Disney minivan driver will remove the special magic button and send you on your way according to experts this change is a huge win for Disney for more information click the link in our bio or visit mousetrap news.com  cam
file2-Fake.mp4,fake,information it's game on for everyone at first it was just random rumors about the to dating but then it got a lot more intense after Taylor started showing up to Travis's games and she didn't even show up alone she was always with his mom in the VIP section of the audience cheering for her boyfriend it's kind of a high school sweetheart love story and we are here for it now there was a lot of mystery around the too because a low we all knew something was going on we weren't sure we didn't want to make any assumptions  and they could have been just really good friends right but turns out that wasn't what was going on sources reveal the completely different story one that we liked a lot more Taylor and Travis after staying silent for so long finally broke their silence and publicly announced their love for each other some fans think that she might be taking things too fast but we think she's doing what's best for her and for that we could not have been happier the couple was recently spotted holding hands and having a romantic PDA filled date night after an SNL show  and guys it was the most adorable thing ever we are going to talk about that and much more in today's video Welcome Back to the celebrity buzz and today we are going to be talking about how Taylor Swift announced that she is dating Travis Kelce publicly but before we get to talking about all that make sure to give this video I'm sure so Taylor and Travis have allegedly been going out for a while now Taylor was actually in a long-term relationship before she got with for the fandom but we saw our queen move on after  after her breakup she was rumoured to be dating a lot of different people but it turns out all of them were just flings and rebounds until mr. Travis Kelce showed up and everything changed he literally helped her get over all the gloom and sadness and showed her a brighter side of life so in order for you guys to understand why we're so excited about this whole thing you'll need to have the context of this relationship but don't worry you won't have to watch a bunch of videos for that because we're going to give you a little recap right  so it started out with one interview that Travis did it wasn't even something serious word got out that he went to a Taylor Swift concert now this shouldn't have been a big deal and it wasn't but then he was asked about it in an interview and he revealed some very interesting things in the interview Travis said that he loved Taylor and her music and went to one of her concerts but that wasn't the shocking part he also said that he made her a friendship bracelet for her with his own personal number on it one of the bracelets  it's I made for you made our bracelet yeah if you're up on Taylor Swift concerts there are friendship bracelets and I received a bunch of them being there but I wanted to give Taylor Swift 21 with my number on it now right now your numbers in 87 or your phone number yeah you know which one but unfortunately he wasn't able to give it to her being a Taylor Swift I know you went to the chest of clouds or how was it yeah well I was disappointed that she doesn't talk before or after her shows because she has to save her voice for the 44 songs that she sings now  interview started going viral and people started shipping them instantly according to Insider sources Taylor reached out to Travis after that and connected with him after that the two started casually hanging out and getting to know each other it wasn't anything serious and they didn't think it would go anywhere but the to instantly clicked and decided to go on more dates but hold on a minute before we get on with today's video and give you the rest of the Saucy details do us a favor and make sure to share this video with a friend who  might enjoy our content and turn on post notifications while you're at it too so you don't miss out on any of our future uploads now this is where the story gets spicy Taylor decided to show up to one of Travis's games now that's nothing big right was there casually hanging out with Travis's mom yep you heard that right the two were seen cheering every time Travis scored in just having the time of their lives even Travis talked about it saying that his mom had a really good time with Taylor
file3-Fake.mp4,fake,how bad is 5G for your health while you're here in horror stories but these are the reality you are putting your future at risk using 5G voluntarily the first thing I do when I get my phone is go to the settings and turn off 5G it doesn't change the value the phone any way shape or form to me and it also is saving my health at night get the phone away from you put it on airplane mode or turn it off this time is to restore and recover and you cannot do it with your cell phone on and your Wi-Fi on while you sleep
file4-Fake.mp4,fake,so 5G technology if you notice before they put up the towers it was a huge multi billion dollar marketing campaign everywhere you turn on radio or TV it was non-stop ads 45 G 5G it's going to be blazing fast internet going to change our lives the whole world is going to run on 5G download speeds blah blah blah download a movie in three seconds all this bullshit is any of y'all's internet  faster than it was before  it's worse than it was before glitchy slow constant problems so do you really believe 5G was for your internet speeds
file5-Fake.mp4,fake,so if you think this is going to be no big deal you're absolutely wrong the reason they're going to create this Panic is to force us to our knees to make us so uncomfortable and panic that will say yes we'll take the digital just get the money turned back on so life can go back to normal that's what the whole shutdown is for and of course they're going to blame it on the bankers he's evil Bankers came in and stole your money they're just doing the bankers are just doing what they're told okay so but they have  to create the crisis so they can ride in and save the day so they shut down the money on a Friday within three weeks to three months I don't think it'll take three months because we're so soft here we're not used to hardship and doing without here we're used to just run into the store anytime we need something so once they shut all that off and people are out of money and people are starting to starve most people would just give in willingly quick so I don't think it's going to take three months I think 32 maybe six weeks tops  but I would prepare for three months if I was you
file6-Real.mp4,real,is 5G dangerous the general consensus is no here's why we're talking about electromagnetic radiation and electromagnetic fields this is what people mean when they bring up EMF the reason people are worried in general relates to fears around radiation at high levels which is a completely normal concern but we're talking about the frequency range of x-rays UV rays gamma radiation things that we know are harmful and these are from the high end of the electromagnetic spectrum  spectrum because that's what we're talking about here light electromagnetic radiation that we can modulate to send messages to each other we've used this method of communication since the first radio was invented in 1895 by Guglielmo Marconi and that's what 5G is it's a frequency of radio waves that we can use to communicate it's at the lower end of the electromagnetic spectrum now the radio spectrum runs from about one Hertz to three thousand Giga Hertz  and 5 gigahertz is the highest frequency of radio waves that we've been able to use so far now this higher frequency of radio wave allows us to transmit more data faster but the most important thing to know here is that these are non ionizing electromagnetic fields so they are not hazardous to your health the non-ionizing frequencies run all the way through the visible portion of the spectrum now in order for an electromagnetic field to be dangerous it needs to be an ion  sizing field and this happens at frequencies of around 3 million gigahertz think about that 5 gigahertz 23 million gigahertz this is why we need sunscreen to protect us from UV radiation screens when were using X-rays and Y gamma radiation while an excellent tool in treating cancer is also extremely dangerous to help the cells but 5G radio waves have such a low wavelength that they do not penetrate the body  5G is non-ionizing and at a lower frequency than the light that we interact with every moment of every day now it's true that some papers question the long-term effects but they're wondering about long-term effects of Technology particularly in built-up areas and wondering how this will affect us over time which is a valid question but it is a valid question of all technology of all or methods of communication new technology will always raise questions but the science is clear the frequency range is a  a few million GHz off being dangerous
file7-Fake.mp4,fake,Wi-Fi is destroying your sleep yes if you have your Wi-Fi on it night which most of us do it's going to cause you to stay in a fight or flight mode which you cannot grow and repair while in fight or flight so turn your Wi-Fi off at night unplug the router get a good night's sleep and then plug it back in it will change your life
file8-Fake.mp4,fake,this guy died exposing the truth     by the way this video is scripted and for entertainment purposes only stay weird
file10-Fake.mp4,fake,used to be a cast member at DisneyWorld doing maintenance work in the underground tunnels one night I was repairing a broken pipe near the Haunted Mansion when I took a wrong turn the door I opened led to a dimly-lit cold room I'd never seen before at the center of it was a metal case covered in Frost curiosity got the better of me I opened it inside was Walt Disney's Frozen head it was real eyes closed the unmistakable face Frozen in time I stumbled back heart racing but  before I could process what I was seeing I heard footsteps security rushed in guns drawn you shouldn't have seen this one of them growled grabbing me they dragged me to a different room locking me in a chair they strap something to my head a device that hummed with low electric vibrations this will wipe your memory they said coldly you'll forget everything the machine buzzed and I blacked out when I woke up they told me it was all a dream that I'd  imagined it but I remember everything they don't know that it didn't work every day I think about this living in fear but now I know the truth and I know they're watching me I am afraid for my safety each and every day all because I took a wrong turn
file11-Fake.mp4,fake,your eyes start shaking suddenly throw your phone as far as possible terrifying facts you don't know did you know that sleeping on your back increases the chances of having a nightmare even when we sleep our mind can sense the presence of another person we only realize that we have slept when we wake up there is someone who wants to kiss you but they are embarrassed this is the third person that appears when you click the arrow icon in the bottom right corner and then go to more never imitate the voice of an animal when you are in a forest it is  estimated that 7 million people were born on the same day as you comment the day you were born and see how many people were born on that day if a voice calls you and you realize there's no one there don't respond it could be the voice of a spirit before revealing the last terrifying fact like and follow us as we may never see each other again if you want somebody to fall in love with you use the triangle method look at their left eye then down at the lips than at their right eye and then smile
